series,timestamp,value,label,another_value,other_value
series_a,2019-01-14T16:26:37.000Z,29.4375,1,0.0,0.806
series_a,2019-01-14T16:31:37.000Z,28.5625,,0.841,0.427
series_a,2019-01-14T16:36:37.000Z,21.8125,,0.909,0.123
series_a,2019-01-14T16:41:37.000Z,19.875,,0.141,0.308
series_a,2019-01-14T16:46:37.000Z,20.625,,-0.757,0.731
series_a,2019-01-14T16:51:37.000Z,19.6875,,-0.959,0.819
series_a,2019-01-14T16:56:37.000Z,20.125,,-0.279,0.808
series_a,2019-01-14T17:01:37.000Z,19.9375,,0.657,0.739
series_a,2019-01-14T17:06:37.000Z,20.75,,0.989,0.124
series_a,2019-01-14T17:11:37.000Z,21.0625,,0.412,0.037
series_a,2019-01-14T17:16:37.000Z,20.3125,,-0.544,0.765
series_a,2019-01-14T17:21:37.000Z,20.625,,-1.0,0.942
series_a,2019-01-14T17:26:37.000Z,21.0,,-0.537,0.161
series_a,2019-01-14T17:31:37.000Z,21.3125,,0.42,0.752
series_a,2019-01-14T17:36:37.000Z,21.3125,,0.991,0.158
series_a,2019-01-14T17:41:37.000Z,21.75,,0.65,0.336
series_a,2019-01-14T17:46:37.000Z,21.75,,-0.288,0.24
series_a,2019-01-14T17:51:37.000Z,20.4375,,-0.961,0.804
series_a,2019-01-14T17:56:37.000Z,20.1875,,-0.751,0.024
series_a,2019-01-14T18:01:37.000Z,20.0625,,0.15,0.428
series_a,2019-01-14T18:06:37.000Z,21.6875,,0.913,0.035
series_a,2019-01-14T18:11:37.000Z,21.0625,,0.837,0.47
series_a,2019-01-14T18:16:37.000Z,21.25,,-0.009,0.054
series_a,2019-01-14T18:21:37.000Z,21.0625,,-0.846,0.079
series_a,2019-01-14T18:26:37.000Z,21.3125,,-0.906,0.973
series_a,2019-01-14T18:31:37.000Z,21.375,,-0.132,0.436
series_a,2019-01-14T18:36:37.000Z,21.5625,,0.763,0.669
series_a,2019-01-14T18:41:37.000Z,21.125,,0.956,0.042
series_a,2019-01-14T18:46:37.000Z,21.3125,,0.271,0.893
series_a,2019-01-14T18:51:37.000Z,20.25,,-0.664,0.574
series_a,2019-01-14T18:56:37.000Z,18.875,,-0.988,0.338
series_a,2019-01-14T19:01:37.000Z,19.625,,-0.404,0.643
series_a,2019-01-14T19:06:37.000Z,19.625,,0.551,0.538
series_a,2019-01-14T19:11:37.000Z,19.5625,,1.0,0.261
series_a,2019-01-14T19:16:37.000Z,18.4375,,0.529,0.527
series_a,2019-01-14T19:21:37.000Z,18.75,,-0.428,0.312
series_a,2019-01-14T19:26:37.000Z,18.125,,-0.992,0.666
series_a,2019-01-14T19:31:37.000Z,17.75,,-0.644,0.295
series_a,2019-01-14T19:36:37.000Z,17.875,,0.296,0.831
series_a,2019-01-14T19:41:37.000Z,17.25,,0.964,0.919
series_a,2019-01-14T19:46:37.000Z,17.125,,0.745,0.053
series_a,2019-01-14T19:51:37.000Z,16.875,,-0.159,0.34
series_a,2019-01-14T19:56:37.000Z,17.0,,-0.917,0.09
series_a,2019-01-14T20:01:37.000Z,16.625,,-0.832,0.839
series_a,2019-01-14T20:06:37.000Z,16.3125,,0.018,0.569
series_a,2019-01-14T20:11:37.000Z,16.5,,0.851,0.261
series_a,2019-01-14T20:16:37.000Z,16.125,,0.902,0.45
series_a,2019-01-14T20:21:37.000Z,16.1875,,0.124,0.763
series_a,2019-01-14T20:26:37.000Z,16.0625,,-0.768,0.666
series_a,2019-01-14T20:31:37.000Z,16.0625,,-0.954,0.765
series_a,2019-01-14T20:36:37.000Z,15.9375,,-0.262,0.195
series_a,2019-01-14T20:41:37.000Z,16.0,,0.67,0.367
series_a,2019-01-14T20:46:37.000Z,16.0,,0.987,0.681
series_a,2019-01-14T20:51:37.000Z,15.8125,,0.396,0.997
series_a,2019-01-14T20:56:37.000Z,15.3125,,-0.559,0.994
series_a,2019-01-14T21:01:37.000Z,15.0625,,-1.0,0.262
series_a,2019-01-14T21:06:37.000Z,14.9375,,-0.522,0.709
series_a,2019-01-14T21:11:37.000Z,14.9375,,0.436,0.013
series_a,2019-01-14T21:16:37.000Z,15.0,,0.993,0.149
series_a,2019-01-14T21:21:37.000Z,15.0,,0.637,0.081
series_a,2019-01-14T21:26:37.000Z,14.8125,,-0.305,0.533
series_a,2019-01-14T21:31:37.000Z,14.6875,,-0.966,0.617
series_a,2019-01-14T21:36:37.000Z,14.875,,-0.739,0.758
series_a,2019-01-14T21:41:37.000Z,14.6875,,0.167,0.44
series_a,2019-01-14T21:46:37.000Z,14.8125,,0.92,0.21
series_a,2019-01-14T21:51:37.000Z,15.125,,0.827,0.047
